pomp,T_buiten,T_aanvoer,max_vermogen,min_vermogen,COP,max_stroom (A),max_opgenomen_vermogen
HPA-O 10.2 Trend HC 230,-25,35,5.11,2.18,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-20,35,7.61,1.94,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-15,35,8.79,1.72,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-7,35,9.49,1.71,2.8,19.6,4.6
HPA-O 10.2 Trend HC 230,2,35,9.24,2.36,3.96,19.6,4.6
HPA-O 10.2 Trend HC 230,7,35,10.97,2.76,5.4,19.6,4.6
HPA-O 10.2 Trend HC 230,15,35,12.39,3.27,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,20,35,12,3.69,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-25,45,5.04,2.21,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-20,45,7.38,1.92,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-15,45,8.37,1.67,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-7,45,9.34,1.55,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,2,45,9.37,2.18,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,7,45,10.96,2.57,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,15,45,13.5,3.1,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,20,45,13.5,3.51,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-25,55,5.22,2.32,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-20,55,7.77,1.94,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-15,55,8.36,1.65,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-7,55,9.66,1.39,2.37,19.6,4.6
HPA-O 10.2 Trend HC 230,2,55,9.29,2.02,2.86,19.6,4.6
HPA-O 10.2 Trend HC 230,7,55,10.1,2.43,3.33,19.6,4.6
HPA-O 10.2 Trend HC 230,15,55,13.5,3,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,20,55,13.5,3.4,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-25,65,NA,NA,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-20,65,7.13,1.94,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-15,65,8.21,1.64,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,-7,65,8.4,1.64,1.9,19.6,4.6
HPA-O 10.2 Trend HC 230,2,65,8.56,2.38,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,7,65,9.27,2.83,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,15,65,12.62,3.51,NA,19.6,4.6
HPA-O 10.2 Trend HC 230,20,65,13.5,4,NA,19.6,4.6
HPA-O 13.2 Trend HC 400,-25,35,6.13,4.11,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-20,35,9.1,3.5,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-15,35,11.73,2.86,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-7,35,12.47,2.67,2.75,11.6,7.65
HPA-O 13.2 Trend HC 400,2,35,11.99,3.05,3.91,11.6,7.65
HPA-O 13.2 Trend HC 400,7,35,13.92,3.69,5.36,11.6,7.65
HPA-O 13.2 Trend HC 400,15,35,16.14,4.47,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,20,35,14.6,5.07,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-25,45,5.87,3.86,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-20,45,8.77,3.3,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-15,45,11.25,2.72,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-7,45,12.18,2.52,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,2,45,11.99,2.92,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,7,45,14.09,3.44,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,15,45,18,4.24,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,20,45,18,4.82,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-25,55,5.99,3.66,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-20,55,10.2,3.39,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-15,55,11.38,3.13,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-7,55,12.41,2.76,2.29,11.6,7.65
HPA-O 13.2 Trend HC 400,2,55,12.04,2.7,2.82,11.6,7.65
HPA-O 13.2 Trend HC 400,7,55,14.19,3.26,3.24,11.6,7.65
HPA-O 13.2 Trend HC 400,15,55,18,4.11,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,20,55,18,4.68,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-25,65,NA,NA,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-20,65,9.14,3.23,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-15,65,10.53,3.26,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,-7,65,12,2.98,1.99,11.6,7.65
HPA-O 13.2 Trend HC 400,2,65,12.23,3.18,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,7,65,13.76,3.83,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,15,65,18,4.78,NA,11.6,7.65
HPA-O 13.2 Trend HC 400,20,65,18,5.54,NA,11.6,7.65
HPA-O 10.2 Plus HC 400,-25,35,5.36,4.11,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-20,35,7.78,3.53,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-15,35,8.98,2.94,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-7,35,10.07,2.67,3.15,9.7,6.83
HPA-O 10.2 Plus HC 400,2,35,9.84,3.05,4.54,9.7,6.83
HPA-O 10.2 Plus HC 400,7,35,11.97,3.69,5.4,9.7,6.83
HPA-O 10.2 Plus HC 400,15,35,14,4.47,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,20,35,14,5.07,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-25,45,5.1,3.86,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-20,45,7.44,3.34,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-15,45,8.74,2.79,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-7,45,9.95,2.52,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,2,45,9.82,2.92,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,7,45,11.85,3.44,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,15,45,14,4.24,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,20,45,14,4.82,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-25,55,4.97,3.66,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-20,55,7.39,3.39,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-15,55,8.72,3.13,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-7,55,10.02,2.76,2.48,9.7,6.83
HPA-O 10.2 Plus HC 400,2,55,9.92,2.7,2.9,9.7,6.83
HPA-O 10.2 Plus HC 400,7,55,11.63,3.26,3.18,9.7,6.83
HPA-O 10.2 Plus HC 400,15,55,14,4.11,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,20,55,14,4.68,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-25,65,NA,NA,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-20,65,7.39,3.23,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-15,65,8.25,3.16,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,-7,65,9.65,2.98,2.02,9.7,6.83
HPA-O 10.2 Plus HC 400,2,65,10.07,3.18,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,7,65,11.4,3.83,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,15,65,14,4.78,NA,9.7,6.83
HPA-O 10.2 Plus HC 400,20,65,14,5.45,NA,9.7,6.83